ts,time,TAC,0_00_tot,401_00_tot,486_00_tot,487_00_tot,-1_00_tot,0_01_tot,1_01_tot,0_00_volte,0_01_volte,1_01_volte,
1201000,12/01/18 00:00,24837,11698,3193,682,2687,5221,531,23,11269,19,18,
1201000,12/01/18 00:00,24844,5412,1490,291,1193,2413,288,14,5199,9,12,
1201000,12/01/18 00:00,25088,2584,643,150,590,1164,144,7,2488,5,4,
1201000,12/01/18 00:00,25089,3312,863,162,824,1721,194,16,3171,3,16,
1201000,12/01/18 00:00,25092,5940,1556,287,1369,2532,305,7,5731,5,6,
1201000,12/01/18 00:00,25093,9972,2483,616,2396,3555,368,9,9620,8,9,
1201000,12/01/18 00:00,25094,7550,2101,432,1720,3245,311,15,7322,7,10,
1201000,12/01/18 00:00,25095,17157,4875,940,3988,7382,577,11,16596,26,10,
1201001,12/01/18 00:10,24837,10641,3105,562,2383,5098,586,17,10201,24,16,
1201001,12/01/18 00:10,24844,5192,1476,265,1190,2382,276,19,4977,14,16,
1201001,12/01/18 00:10,25088,2529,720,110,581,1245,147,17,2427,8,12,
1201001,12/01/18 00:10,25089,3069,869,168,770,1702,188,11,2953,5,9,
1201001,12/01/18 00:10,25092,5581,1530,311,1258,2475,333,7,5326,11,2,
1201001,12/01/18 00:10,25093,9516,2421,552,2003,3514,414,6,9091,7,5,
1201001,12/01/18 00:10,25094,7189,2202,388,1644,3264,338,13,6931,6,11,
1201001,12/01/18 00:10,25095,15871,4958,875,3556,7376,585,16,15350,26,13,
1201002,12/01/18 00:20,24837,10184,3107,555,2284,5067,475,24,9747,17,19,
1201002,12/01/18 00:20,24844,5084,1437,290,1086,2374,249,10,4828,11,9,
1201002,12/01/18 00:20,25088,2291,691,136,504,1253,149,2,2188,5,2,
1201002,12/01/18 00:20,25089,2951,802,170,733,1642,199,11,2802,7,10,
1201002,12/01/18 00:20,25092,5083,1494,237,1216,2439,302,8,4853,7,8,
1201002,12/01/18 00:20,25093,8568,2394,502,1983,3566,374,6,8199,8,4,
1201002,12/01/18 00:20,25094,6751,2113,376,1564,3349,326,9,6561,10,9,
1201002,12/01/18 00:20,25095,14880,4773,832,3508,7068,584,10,14346,27,6,
1201003,12/01/18 00:30,24837,9415,3104,483,2212,4938,551,25,9001,21,21,
1201003,12/01/18 00:30,24844,4589,1489,238,1016,2377,273,17,4403,10,12,
1201003,12/01/18 00:30,25088,2213,706,137,488,1209,136,7,2120,3,4,
1201003,12/01/18 00:30,25089,2697,784,152,625,1599,163,15,2553,7,11,
1201003,12/01/18 00:30,25092,4574,1514,253,1077,2414,305,11,4366,8,7,
1201003,12/01/18 00:30,25093,7799,2426,478,1828,3628,396,14,7445,9,11,
1201003,12/01/18 00:30,25094,6464,2088,357,1419,3493,368,16,6241,9,12,
1201003,12/01/18 00:30,25095,13856,4845,825,3410,7147,543,12,13304,22,9,
1201004,12/01/18 00:40,24837,8743,3151,447,1883,5137,576,19,8302,17,15,
1201004,12/01/18 00:40,24844,4294,1473,185,1003,2376,270,13,4123,12,9,
1201004,12/01/18 00:40,25088,2110,661,108,499,1181,142,8,2005,4,5,
1201004,12/01/18 00:40,25089,2440,869,151,639,1615,158,12,2297,3,6,
1201004,12/01/18 00:40,25092,4343,1444,222,960,2366,249,12,4147,7,10,
1201004,12/01/18 00:40,25093,7035,2373,376,1707,3656,357,12,6737,11,9,
1201004,12/01/18 00:40,25094,5971,2092,313,1360,3749,295,15,5726,10,13,
1201004,12/01/18 00:40,25095,12879,4688,705,2985,7127,534,17,12343,15,14,
1201005,12/01/18 00:50,24837,8893,2993,493,2122,4726,535,16,8491,16,15,
1201005,12/01/18 00:50,24844,4256,1420,184,958,2287,248,4,4045,8,4,
1201005,12/01/18 00:50,25088,2050,732,92,446,1232,161,7,1959,6,5,
1201005,12/01/18 00:50,25089,2224,847,115,552,1636,147,7,2072,2,4,
1201005,12/01/18 00:50,25092,4033,1499,213,914,2391,231,8,3804,2,6,
1201005,12/01/18 00:50,25093,6555,2367,378,1606,3492,339,14,6231,8,10,
1201005,12/01/18 00:50,25094,5835,2141,321,1332,3777,320,5,5607,9,5,
1201005,12/01/18 00:50,25095,12048,4843,679,2931,7050,521,12,11487,16,11,
1201005,12/01/18 00:50,51840,0,1,0,0,1,0,0,0,0,0,
1201010,12/01/18 01:00,24837,8672,3045,433,1950,4839,498,15,8247,14,11,
1201010,12/01/18 01:00,24844,4254,1479,168,986,2389,271,5,4090,8,3,
1201010,12/01/18 01:00,25088,1969,718,131,436,1231,175,5,1875,7,4,
1201010,12/01/18 01:00,25089,2390,852,113,546,1570,178,10,2145,2,5,
1201010,12/01/18 01:00,25092,3938,1390,215,945,2340,204,7,3714,11,6,
1201010,12/01/18 01:00,25093,6354,2400,433,1599,3534,324,7,6058,12,6,
1201010,12/01/18 01:00,25094,5565,2102,339,1364,3540,266,3,5373,1,2,
1201010,12/01/18 01:00,25095,11571,4755,750,3167,6955,459,16,11114,14,15,
1201011,12/01/18 01:10,24837,8324,3069,391,1782,4945,562,16,7896,18,14,
1201011,12/01/18 01:10,24844,4023,1462,222,915,2330,283,5,3824,13,4,
